,SupplyAPR,SupplyAPY,BorrowAPR,BorrowAPY,TotalSupply,TotalBorrow,timestamp,date
0,0.0006542765335565999,0.0006544904644716354,0.026867405242728,0.027231587897193155,0.001754434799974524,10721.873276934142,16121480,2022-12-05 22:10:23
1,0.0006877368385632,0.0006879734473845822,0.0271443958940682,0.027516161114611526,0.001755382049380559,11161.23648282661,16128126,2022-12-06 20:25:11
2,0.0006795446170932,0.0006797758504066831,0.0270769946670666,0.02744690779222214,0.001751009297919701,11028.216333985773,16134772,2022-12-07 18:59:35
3,0.000692320069782,0.000692559900423273,0.027181988879808598,0.027554789272075553,0.001745754124781876,11158.577363059747,16141419,2022-12-08 17:15:35
4,0.0006987869031402,0.0006990308727206074,0.027234892211385597,0.027609151597762338,0.0017511550095866,11275.72534858924,16148065,2022-12-09 15:33:59
5,0.0007637493272562,0.0007640409304576767,0.0277575861312756,0.028146417240336286,0.001749794613137398,12082.528833255566,16154711,2022-12-10 13:49:59
6,0.0007999631170164,0.0008002830222595403,0.0280423909571868,0.028439279680176677,0.001748903147912772,12520.541501544465,16161357,2022-12-11 12:06:23
7,0.000847637057106,0.0008479963462195705,0.0284106055099806,0.028818035820806553,0.001662320227690003,12446.507196630424,16168003,2022-12-12 10:22:47
8,0.0008391995936369999,0.0008395519805901586,0.028345976328861,0.02875154637646271,0.001670347058566708,12410.37495498126,16174649,2022-12-13 08:40:11
9,0.0009131893795494,0.0009136063923185223,0.028905194752010997,0.029327004181802785,0.001626419286112214,12895.04152111638,16181296,2022-12-14 06:57:59
10,0.0010087157311056,0.0010092243999151318,0.0296036002815552,0.030046142762844008,0.0015765712451167,13481.686019472085,16187942,2022-12-15 05:15:11
11,0.000977977926549,0.0009784562075896286,0.029381619507856203,0.02981751754616524,0.001597111727769459,13341.235487943522,16194588,2022-12-16 03:31:35
12,0.0009741184741457999,0.0009745932264251245,0.0293535675101502,0.029788629971315483,0.001595819079847927,13290.552734025361,16201234,2022-12-17 01:48:35
13,0.0009652853493773999,0.0009657515037384545,0.029289211402203003,0.029722358602199073,0.001627340014253348,13459.716458596355,16207880,2022-12-18 00:04:47
14,0.00097794057024,0.000978418799318037,0.0293813481729816,0.02981723852243623,0.001635860147049466,13664.620094447157,16214526,2022-12-18 22:20:47
15,0.001523426506515,0.0015245876390495017,0.0330045493426812,0.03355524088550621,0.00165326479170606,19151.46745370959,16221173,2022-12-19 20:36:23
16,0.001501860726423,0.001502989183051806,0.0328722090547068,0.03341846901257717,0.001656506169886246,18993.60254466579,16227819,2022-12-20 18:52:59
17,0.0015795858828852,0.0015808340008616195,0.033345654962457595,0.03390785246877037,0.001657435446064465,19704.063305127384,16234465,2022-12-21 17:07:23
18,0.0015671915355528,0.0015684205091313075,0.033270803222778,0.033830465875436255,0.001668118353086818,19719.807792032258,16241111,2022-12-22 15:22:47
19,0.0017060383537164001,0.0017074943308879043,0.034096037053130995,0.034683969862074004,0.001666908029631447,20932.226027717927,16247757,2022-12-23 13:35:47
20,0.0017551258849404,0.0017566670902418036,0.034381103980689,0.03497896584767335,0.001666783797402226,21354.45579844008,16254403,2022-12-24 11:49:47
21,0.001566057024054,0.0015672841486469302,0.0332639396735706,0.03382337015554282,0.001621717512124089,19161.591972317,16261050,2022-12-25 10:05:11
22,0.0016134028098102,0.0016147047543835225,0.033548671138581,0.03411777416490036,0.00162120612421001,19567.25875495666,16267696,2022-12-26 08:20:35
23,0.0015870229362468001,0.001588282754609427,0.0333904536869814,0.03395417128334688,0.001640072553680695,19563.646246047745,16274342,2022-12-27 06:38:23
24,0.0014615275390488,0.0014625959635850005,0.0326226225235446,0.0331605740540768,0.001633004842054809,18361.294585074673,16280988,2022-12-28 04:53:35
25,0.0014721399786077997,0.0014732239381831658,0.0326885597987418,0.03322869993131228,0.001622993552348718,18344.224674315443,16287634,2022-12-29 03:08:35
26,0.0013789596821508,0.0013799110858714325,0.0321028915519782,0.03262374775822874,0.001605312364220863,17306.047363989423,16294280,2022-12-30 01:24:35
27,0.0013281452349012,0.0013290278342541484,0.0317768683953492,0.03228714336840177,0.001628235157164496,17079.849146416545,16300927,2022-12-30 23:40:47
28,0.0013316656219308,0.0013325524660972032,0.0317996122785048,0.03231062216646574,0.001619309396707152,17019.1197381212,16307573,2022-12-31 21:56:11
29,0.0010421492384502,0.001042692363683706,0.029842228383521397,0.030291970216540287,0.001601645603970484,14037.842888904692,16314219,2023-01-01 20:10:35
30,0.0007804952493552,0.0007807998931905757,0.027889848898005602,0.028282411503315563,0.001606870000588762,11286.027950709484,16320865,2023-01-02 18:25:23
31,0.0007787753575254,0.0007790788695465345,0.027876309946002,0.028268489611941394,0.00160803497038602,11274.819168359307,16327511,2023-01-03 16:40:11
32,0.0008000329881726,0.0008003531502878136,0.028042936109467204,0.028439840584247644,0.001599097423616341,11449.786452826283,16334157,2023-01-04 14:55:35
33,0.0008065339905222,0.000806859299467888,0.028093587177762003,0.0284919333310083,0.001596108525251035,11500.499959777198,16340803,2023-01-05 13:11:11
34,0.0008205994179666,0.0008209359389006465,0.028202692180782602,0.02860415300540109,0.001596088039458471,11655.671559913448,16347450,2023-01-06 11:29:35
35,0.0008014879539503999,0.0008018094767812123,0.028054284488037,0.028451511541997432,0.00158362730291192,11355.114032123063,16354096,2023-01-07 09:45:35
36,0.001200649680198,0.0012013706169322624,0.030936518337846598,0.03142002516508047,0.001583860286620371,15427.791358739749,16360742,2023-01-08 08:00:59
